dataset,fold,model,n,mae,rmse,smape,crps,coverage_50,coverage_90,width_90
cv,fold_4,B1_persistence,2141,4.546476445586174,6.540746948414294,21.097412394719935,4.546476445586174,0.0,0.0,0.0
cv,fold_4,B2_arx,2141,4.59117833691458,6.401037205572433,20.698370174490478,3.4073228652655048,0.5497431106959365,0.883232134516581,23.790244636543463
cv,fold_4,M0_dynamic_only,2141,4.754348169936881,6.647796095143762,21.133348012853983,3.509913619957423,0.5469406819243344,0.8865016347501168,23.987041291011053
cv,fold_4,M1_meteorological,2141,11.414371925505543,16.921594430920116,43.54451981920982,8.225232281848145,0.4796823914058851,0.8883699205978515,48.33389889793837
cv,fold_4,M2_fourier_seasonality,2141,11.734632467996732,17.35432920904791,44.93836922051014,8.459338031642824,0.46333489023820645,0.865950490425035,50.52539387397469
cv,fold_4,M3_dynamic_regression,2141,4.542110270591116,6.321639766944944,20.364663730673758,3.338884543531174,0.5506772536198038,0.8916394208313873,23.240128068968346
cv,mean,B0_historical_median,8565,11.689238508929963,15.923093983200168,49.15061912913546,11.689238508929963,0.0,0.0,0.0
cv,std,B0_historical_median,4,3.7202328252158825,6.2519807668886385,8.493530729919469,3.720232825215882,0.0,0.0,0.0
cv,mean,B1_persistence,8565,4.352775796553637,6.20384332913288,21.22199259099958,4.352775796553637,0.0010507472489229227,0.0010507472489229227,0.0
cv,std,B1_persistence,4,0.39811037100202545,0.722130723460635,1.2889021461123602,0.39811037100202545,0.0013415037379409538,0.0013415037379409538,0.0
cv,mean,B2_arx,8565,4.213025365367134,5.920696749178251,20.50225534348867,3.1242161206001184,0.5475771812695185,0.890599685304606,20.906271045933615
cv,std,B2_arx,4,0.4362850407148006,0.6610318405788151,1.0587008620305944,0.3403401608107847,0.01521005129086472,0.013903663343808373,3.5191201566229293
cv,mean,M0_dynamic_only,8565,4.38360897528219,6.186624649849254,20.99827358890442,3.235860163067571,0.5410390530180623,0.8928177841275075,21.43440603956691
cv,std,M0_dynamic_only,4,0.49897464814758985,0.7389359647792518,1.084276124897184,0.37878175981362583,0.012403350114019395,0.015099096717061233,3.2375949204968255
cv,mean,M1_meteorological,8565,10.101212199614304,14.52281731874377,42.61022578135288,7.298911384808424,0.504256466715598,0.8978377120737755,49.330735568649814
cv,std,M1_meteorological,4,2.657863954447996,3.984149060720851,4.042668646042882,1.7981368996963805,0.05964196176444608,0.029225613831048446,9.00785958697135
cv,mean,M2_fourier_seasonality,8565,10.205456729799103,14.592143646339172,42.88766445924483,7.390226521775865,0.4904791669119773,0.8791548535964284,49.371274480325155
cv,std,M2_fourier_seasonality,4,3.3227857532533633,5.161194183693887,6.402356876160417,2.382995033158142,0.08085825168494623,0.05588248886418948,11.896975618577072
cv,mean,M3_dynamic_regression,8565,4.161706303451127,5.867072963322969,20.249218543089086,3.0887289424214264,0.5472279134291113,0.893635540780223,20.709369094974527
cv,std,M3_dynamic_regression,4,0.44789808462535874,0.6966819684311717,0.9898579628104418,0.35154016540694105,0.018735142527496584,0.009705830063916423,3.5468892892256534
